標題,連結
"科博館新任館長黃文山上任 持續推動館務發展、深化學術研究
長潘孟安（現任總統府秘書長）共同規劃鯨魚化石挖掘計畫，研擬化石出土區域的經費與後續處理方案。黃館長現為國立成功大學、國立中興大學及東海大學兼任教授，2005年起每年皆獲國家科學及技術委員會研究計畫經費補助。他的主要研究區域聚焦於蘭嶼，且長達28年；2023年12月，他率領團隊發表於《Science ...
/ch/information/news/News-002020/",https://www.nmns.edu.tw/ch/information/news/News-002020/
"臺灣最古老人類化石！科博館與跨國團隊研究證實澎湖原人化石是丹尼索瓦人
澎湖原人下顎骨化石，攝影／張介宇相關附件《Science》研究發表文章全文連結研究團隊合影澎湖原人下顎骨化石，攝影／張介宇臺灣最古老人類化石！科博館與跨國團隊研究證實澎湖原人化石是丹尼索瓦人澎湖原人下顎骨化石，攝影／張介宇相關影片1 ...
/ch/information/news/News-002025/",https://www.nmns.edu.tw/ch/information/news/News-002025/
"🌊《達克比勇闖海洋風暴－實境解謎遊戲》集資計畫啟動！
座、達克比見面會、《鯨掘》特展專屬導覽、化石清修體驗坊」！👉加入集資開啟達克比的海洋冒險相關照片全臺首款科普漫畫改編的實境解謎遊戲！相關連結1🌊《達克比勇闖海洋風暴－實境解謎遊戲》集資計畫啟動！
/ch/information/news/News-002011/",https://www.nmns.edu.tw/ch/information/news/News-002011/
"張牙舞爪－恐龍
生命科學演示所有課程環J1,環E2,自-E-A1,自-E-A2,自-J-A1,自-J-A2程透過模型和圖片，介紹恐龍到底是什麼類型動物？依恐龍家族分類，瞭解古生物學家如何從牙齒化石推測恐龍的食性、從爪子推想恐龍攻擊與防禦的方式。恐龍30分鐘 生命科學演示所有課程國小中年級以上 ...
/ch/learn/museum-education/demo-teaching/Class-E00009/",https://www.nmns.edu.tw/ch/learn/museum-education/demo-teaching/Class-E00009/
"即日起為完成展場空調系統汰換工程，部分展區暫停開放，施工期間展示場票價調整。
或恐龍布書袋(二擇一)可折抵100元。化石先生：消費享95折優惠。宅後有榆輕食cafe：消費即贈小農紅茶一杯。(價值100元)紙箱王餐廳：消費紙火鍋或主題套餐(二擇一)可折抵50元。夢想一號魔術方塊學院：消費享9折優惠。腦力飛翔工坊：消費享95折優惠。好日商店：消費享95折優惠。 ...
/ch/information/news/News-001942/",https://www.nmns.edu.tw/ch/information/news/News-001942/
"臺東蘇鐵
sou & Chen）從目前的化石資料來看，蘇鐵類曾經與恐龍共同生存在兩億兩千五百萬年到一億三千六百萬年前的中生代。因為地球氣候及環境的改變，大部分蘇鐵都滅絕了，只剩下30種左右。蘇鐵的精子有纖毛可以泳動，這是除了銀杏外的裸子植物沒有的原始特徵，所以被稱為自然界的活化石。 ...
/ch/exhibitions/galleries/botanical-garden/flowers/Theme-F00312/",https://www.nmns.edu.tw/ch/exhibitions/galleries/botanical-garden/flowers/Theme-F00312/
"為展場進行空調系統汰換工程，施工期間部分展區暫停開放，期間限定銅板價參觀。已過期
中臺灣海洋保育教育中心。正常營業賣店：化石先生、宅後有榆、科博書屋、麥當勞、夢想一號魔術方塊學院、腦力飛翔工坊、智高科學大衛營、好日商店、紙箱王。施工期間展示場票價調整為單一票價50元。「氣候行動任務」贈禮活動，113年11月19日起兌獎地點更改為第四特展室內「極境美地」登船處旁。圖書室預約讀者注意：施工期間資訊大樓一樓出入口將暫時封閉，館外讀者預約使用圖書室改採定時入館方式。 ...
/ch/information/news/News-001710/",https://www.nmns.edu.tw/ch/information/news/News-001710/
"EP.9 Museum Life -- Paleontology 2
Crocodilians: 鱷魚，指鱷魚目的爬行動物。Morphology: 形態學，生物學中研究生物體形態和結構的分支。Mesozoic: 中生代，地質年代的一個時期，恐龍生存的時代。Specimen: 樣本、標本，指用於研究的生物或礦物等樣本。在音檔中通常指化石。Femur: 股骨，大腿骨。CT: 電腦斷層掃描，一種醫學影像技術，用於產生身體內部結構的詳細圖像。 ...
/ch/learn/channel/video/ResourceVideo-000313/",https://www.nmns.edu.tw/ch/learn/channel/video/ResourceVideo-000313/
"恐龍的鳥日子
生命科學演示所有課程週二、三 10:00、11:00、14:00、15:00環E2,自-E-A1,自-E-A2生命科學,中生代,恐龍,鳥的演化40分鐘生命科學演示所有課程國小中年級以上 ...
/ch/learn/museum-education/demo-teaching/Class-E00005/",https://www.nmns.edu.tw/ch/learn/museum-education/demo-teaching/Class-E00005/
"20250226-2第一區岩石教室區
ucophane Schist五房貝化石 Pentamerida石灰岩 Limestone石灰岩 Limestone疊層石 Stromatolite玄武岩 Basalt玄武岩 Basalt矽化木 Petrified wood31323334353621222324252627282930 ...
/export/sites/nmns/ch/exhibitions/galleries/.galleries/files/20250226-2.pdf",https://www.nmns.edu.tw/export/sites/nmns/ch/exhibitions/galleries/.galleries/files/20250226-2.pdf
